tick,position_value,speed_value,angle_value,ang_vel_value,position_sample,speed_sample,angle_sample,ang_vel_sample
180.0,0.13759702057480971,0.6094943885544915,0.3048568020209324,1.7132355384661262,0.13759702057480971,0.6094943885544915,0.3048568020209324,1.7132355384661262
181.0,0.1439616102425172,0.6273653756772749,0.32274710816851054,1.7942071460810702,,,,
182.0,0.1499261177582719,0.6437423321431995,0.33980504987603366,1.870405202607694,,,,
183.0,0.1561472127129887,0.6604778390989274,0.35788055584824374,1.9504372900869849,,,,
184.0,0.16313398041589047,0.6788576700879251,0.3785129699251586,2.0411172303119054,,,,
185.0,0.1696436395685716,0.6954779103852986,0.39808552253147167,2.1258391474265483,0.1696436395685716,0.6954779103852986,0.39808552253147167,2.1258391474265483
186.0,0.17684073012865595,0.7133406323155721,0.420084577615371,2.2201847452805645,,,,
187.0,0.1836708403968744,0.7296951309787028,0.4413424535011993,2.3099376691049938,,,,
188.0,0.19139290768854936,0.7475246318633685,0.4657875859450448,2.4120820868346886,,,,
189.0,0.19851286451232747,0.7632207527849315,0.4887619731178953,2.506347587045569,,,,
190.0,0.2058748551917841,0.7787083538978263,0.5129380814168105,2.6041497691974578,0.2058748551917841,0.7787083538978263,0.5129380814168105,2.6041497691974578
191.0,0.21390462391125634,0.7946951001142292,0.5397911647988674,2.7112464574371664,,,,
192.0,0.2216721407438162,0.8091680632245059,0.566291457165505,2.814968105023899,,,,
193.0,0.2302333346951852,0.82396138538527,0.5960745010216746,2.929684389890834,,,,
194.0,0.23814797820579592,0.8364485505367706,0.624215877493759,3.0357696292517913,,,,
195.0,0.24715437529125292,0.8492308375705188,0.6569032994798053,3.1569186366272928,0.24715437529125292,0.8492308375705188,0.6569032994798053,3.1569186366272928
196.0,0.255057137503189,0.8590797908261434,0.6862809153222389,3.2632569356016727,,,,
197.0,0.2633162893913003,0.8679611796013166,0.717653710921526,3.374735020699409,,,,
198.0,0.2725490180641503,0.8760461973992264,0.7535516445171209,3.49979790599724,,,,
199.0,0.2810225162322151,0.8816503678085404,0.7874032053515894,3.6149724929355753,,,,
200.0,0.29037761129703443,0.8856812842659119,0.8257612808006809,3.7428280377312717,0.29037761129703443,0.8856812842659119,0.8257612808006809,3.7428280377312717
201.0,0.2985458166564507,0.8872402468748324,0.860279553434735,3.855220381534751,,,,
202.0,0.30797328726226686,0.8865680882198504,0.901243629347524,3.9860003671474242,,,,
203.0,0.3165374596347093,0.8835086274609312,0.9397480540775107,4.106167132808638,,,,
204.0,0.32509020567770897,0.8779429862098288,0.9794975297537708,4.22781959442611,,,,
