tick,tick_dt,input_force,output_ang_vel,output_position,output_speed,output_angle
67.0,0.010746264015324414,-4.6875277915655896e-05,-4.918432010232008e-06,-2.51525034448232e-07,-2.441198020714137e-06,-7.604415375324361e-08
68.0,0.009852300048805773,4.86040914209549e-05,-3.616760735349697e-07,-2.7557644982685844e-07,-1.5288138076389003e-06,-1.245020216877003e-07
69.0,0.009849467081949115,-4.598748251920057e-05,-1.958103365447535e-06,-2.9063445109962706e-07,-1.2153805811693524e-06,-1.280643382683116e-07
70.0,0.009581916965544224,1.1182136513595081e-05,5.097512690229196e-07,-3.022801269099267e-07,-6.69955583491898e-08,-1.4682672212598256e-07
71.0,0.010633987956680357,-1.714330135341484e-05,-1.7322947085856123e-07,-3.0299255687056304e-07,-3.289596639078049e-07,-1.414060332702903e-07
72.0,0.010444474057294428,-7.532939830692338e-06,4.3170995909856833e-07,-3.0642836754614443e-07,-4.979747564708785e-07,-1.432153239846314e-07
73.0,0.009226258029229939,-3.1167583240530214e-05,1.9349975427681355e-06,-3.110228111413877e-07,5.819790455496627e-07,-1.392322565081997e-07
74.0,0.01028023601975292,-3.631820688458705e-05,-4.864770765129597e-07,-3.0503992919458665e-07,2.194942060664052e-08,-1.193400250709013e-07
75.0,0.010127590969204903,1.1527392676684925e-05,1.6808467015964973e-06,-3.0481763444067153e-07,2.355514168176546e-07,-1.2426686591771917e-07
76.0,0.010042499983683228,-4.292734008177124e-05,1.727185106738333e-06,-3.0245210934112366e-07,5.172856583504678e-07,-1.0738696294436233e-07
77.0,0.01032160606700927,-3.592419592513476e-05,1.3211776325168296e-06,-2.971128905515166e-07,3.4926272922008975e-07,-8.95596386678039e-08
78.0,0.008973281946964562,-3.20569251062102e-05,-4.522225485380969e-07,-2.9397885760865837e-07,-2.839030359498279e-07,-7.770433926920724e-08
79.0,0.010341587010771036,-4.849166166231393e-06,-1.2405526894877146e-06,-2.9691486555755557e-07,-3.857632743058968e-07,-8.23810381031466e-08
80.0,0.010325310053303838,1.4684871768376177e-05,1.371534650330375e-06,-3.0089799097194163e-07,-1.0444876601709515e-07,-9.519012925956721e-08
81.0,0.009331033914349973,-4.9508934254852166e-05,5.591597380901079e-07,-3.0187260594995917e-07,4.458037204289724e-08,-8.239229292262835e-08
82.0,0.010218273964710534,-2.2144105428871735e-05,-7.821568661289101e-07,-3.014170714949761e-07,-3.077853365617237e-07,-7.667864552878784e-08
83.0,0.009950945968739688,3.29587167817898e-06,5.75495526529338e-07,-3.044798267490722e-07,-2.553398629971063e-07,-8.446184624271539e-08
84.0,0.0105696190148592,-3.339125892715611e-05,2.7314403019790877e-06,-3.0717867182025794e-07,9.951560434081684e-07,-7.83790777825445e-08
85.0,0.0093237190740183,-5.141032250068018e-05,2.9702649807435336e-07,-2.979001164367086e-07,-1.868244086961587e-07,-5.291189573943977e-08
86.0,0.011087368009611964,-2.6201747605074678e-05,-1.8343995780714982e-06,-2.999715074091011e-07,-7.674915314270691e-07,-4.961865364668312e-08
87.0,0.00965124904178083,1.3997496306757426e-05,7.395600510764101e-07,-3.073787593163615e-07,-5.164893460963691e-07,-6.732290081678882e-08
88.0,0.009183999034576118,-4.980658058852019e-05,-2.4923283579837387e-06,-3.121221969722794e-07,-1.249595055869014e-06,-6.0530782021692e-08
89.0,0.010306291049346328,1.6183128479661688e-05,-1.5445004361542147e-06,-3.2500088731188965e-07,-8.285657403127352e-07,-8.621744346961184e-08
90.0,0.009615582996048033,6.286056412843689e-06,-1.4962885504540284e-07,-3.3296802995554877e-07,-7.264687465745405e-07,-1.0106871560088508e-07
91.0,0.011042258003726602,-2.9123760411353024e-05,-1.6622459554123605e-06,-3.409898852868687e-07,-8.878801332289979e-07,-1.0272095602309862e-07
92.0,0.008976188953965902,8.586097049757921e-06,-2.732236621595093e-07,-3.4895966513120463e-07,-8.371331521284066e-07,-1.1764158980684556e-07
93.0,0.01037440006621182,-2.8507176024626065e-05,-3.6124519124682396e-06,-3.5764441936007366e-07,-1.4344449986739275e-06,-1.204761213856438e-07
94.0,0.010153978946618736,4.642848201519352e-05,5.462332505369842e-07,-3.722097436766913e-07,-5.229176474078296e-07,-1.5715688205051888e-07
95.0,0.010220404015854001,-3.751242515613178e-05,1.915459364840329e-06,-3.7755417330021917e-07,7.185093596572441e-07,-1.515741575431377e-07
96.0,0.009331348002888262,-3.315958102321222e-05,-3.32659621283124e-07,-3.70849512421925e-07,-2.394214713435901e-07,-1.3370033962442125e-07
97.0,0.010391641058959067,-4.476353950569601e-06,-1.1082546138008748e-06,-3.733374944139354e-07,-3.566650228501791e-07,-1.3715721900360475e-07
98.0,0.010234200046397746,1.4012350384651717e-05,7.527548681932491e-07,-3.7698767560733715e-07,-8.812206205858965e-08,-1.4849931842358617e-07
99.0,0.010142702027224004,-2.9038523173543644e-05,1.4010769533199681e-06,-3.7788147142482195e-07,5.363402746813241e-07,-1.4086435009595976e-07
100.0,0.010154607938602567,-2.614677363237002e-05,9.843543473530818e-07,-3.724351462137507e-07,3.661821252151857e-07,-1.2663696294318373e-07
101.0,0.009249922935850918,-2.1613653786577984e-05,1.6010629366840865e-08,-3.6904798977502413e-07,-4.256568803711775e-08,-1.1753176108859789e-07
102.0,0.010310531943105161,-9.256669277543583e-06,-1.115921426307324e-06,-3.694868646612111e-07,-2.3525642572305105e-07,-1.1736668298308186e-07
103.0,0.010374641977250576,1.651001870717561e-05,9.655586789109595e-07,-3.7192756585093536e-07,8.83918529165822e-08,-1.2894396825576317e-07
104.0,0.009190664975903928,-3.083404781094677e-05,-3.6888808901614537e-07,-3.711151859441797e-07,-2.0463502438173524e-07,-1.2006984192331615e-07
105.0,0.010173163958825171,-3.7966691410568463e-06,-1.2853708878897164e-06,-3.731969715989333e-07,-2.581093585873761e-07,-1.238226009353351e-07
106.0,0.010186052997596562,2.1143354529624256e-05,9.625954381887065e-07,-3.7582608720467994e-07,1.5282409296669783e-07,-1.369154569209475e-07
107.0,0.010466565960086882,-2.7692085715216925e-05,-2.1721259996121416e-07,-3.7422654375535353e-07,-9.321733320177816e-08,-1.2684038827426667e-07
108.0,0.010110664996318519,-3.5293030404570702e-06,-1.0882408290766068e-07,-3.751690329832069e-07,-1.8230686804631223e-07,-1.2903655210545386e-07
109.0,0.009449882083572447,-9.692117350717746e-06,1.1125886978051606e-06,-3.7689181138926997e-07,3.556883435129324e-07,-1.3006492685678417e-07
110.0,0.009567101951688528,-2.555872431265111e-05,-8.665851968123069e-07,-3.7348890474385453e-07,-1.276824425823851e-07,-1.1942067735458582e-07
111.0,0.010398918995633721,1.3198523934619807e-05,-1.3343218753454682e-06,-3.748166641214334e-07,-5.356015246167534e-07,-1.284322266190523e-07
112.0,0.010336217004805803,1.2958247001137453e-05,-9.003763471920204e-09,-3.8035275770797696e-07,-2.776756430944679e-07,-1.422240670768825e-07
113.0,0.010235255933366716,-1.4775031783304077e-05,3.772508650454726e-07,-3.8319483898151103e-07,2.205734183595738e-07,-1.423162229003811e-07
114.0,0.009258663980290294,-8.060731672551716e-06,6.842901249705651e-07,-3.8115262381793576e-07,3.615052362269121e-07,-1.388233839046512e-07
115.0,0.010146719985641539,-1.214559264946026e-05,-7.661438474249832e-07,-3.774845314125981e-07,1.453555729365117e-07,-1.3188008361763522e-07
116.0,0.010166552965529263,2.1431065111747088e-05,1.317682016609841e-06,-3.760067662815042e-07,5.625539599571748e-07,-1.396691256216957e-07
117.0,0.010300216963514686,-2.281466469483901e-05,-1.1286275629024535e-07,-3.70212338440261e-07,4.9850345015429354e-08,-1.2609671496169277e-07
118.0,0.00896309595555067,-1.2253703464490909e-06,-9.808409292268629e-08,-3.6976552501447037e-07,2.9173048084271624e-08,-1.2710831467613016e-07
119.0,0.01030353200621903,-2.2573861791648887e-06,-1.3862825890637113e-06,-3.694649395798151e-07,-2.3666903832584942e-08,-1.2811892726686002e-07
120.0,0.010603173985145986,3.3286870753427024e-05,1.8808973381072506e-06,-3.6971588387884173e-07,6.557136619714719e-07,-1.4281792275128118e-07
121.0,0.010146109038032591,-3.5021938717216916e-05,-1.8752484173207217e-07,-3.6306294156675154e-07,-4.878503367517439e-08,-1.2373413326949975e-07
122.0,0.009081963915377855,-2.5066090912381347e-06,6.656132511911747e-08,-3.635060054822e-07,1.6708067424465329e-07,-1.2543722711534737e-07
123.0,0.010267606936395168,-1.8684243029399648e-06,-1.1792941633280084e-06,-3.61790486792388e-07,1.5716646289658673e-07,-1.2475380159185866e-07
124.0,0.010176663985475898,3.388517434828725e-05,1.8559721531515924e-06,-3.601910565097037e-07,8.229413306434403e-07,-1.3675508203208073e-07
125.0,0.010376733960583806,-2.841115100394907e-05,3.393756201640355e-07,-3.516516132564479e-07,3.122278149239071e-07,-1.1749615276057475e-07
126.0,0.009117167093791068,-4.773002444344389e-06,-6.21015770250918e-08,-3.4880498009645737e-07,1.5032466285026013e-07,-1.1440200852398027e-07
127.0,0.01018820097669959,7.878424506290509e-07,-1.1355911016372627e-06,-3.472734422195843e-07,1.5313482844397612e-07,-1.1503471187168189e-07
128.0,0.010704968008212745,3.215415172307316e-05,1.7371816144249095e-06,-3.456341387801484e-07,8.184601838537245e-07,-1.2719117828511987e-07
129.0,0.009202016983181238,-2.5429952030615312e-05,4.3787975257447363e-07,-3.3810265426826876e-07,3.5331219852134916e-07,-1.1120560356631166e-07
130.0,0.010944351903162897,-6.105907780677487e-06,-1.3750976509939802e-06,-3.34235881235971e-07,2.143754362291814e-07,-1.0641329346286672e-07
131.0,0.010086184949614108,-6.105907780677487e-06,9.218676697339218e-07,-3.3207365093750924e-07,6.889737837241379e-08,-1.202827826945719e-07
132.0,0.010924372007139027,-2.901401253062947e-05,-1.8176289224213719e-06,-3.3132099034585236e-07,-5.61428855877713e-07,-1.1021195732904417e-07
133.0,0.008598178043030202,2.6361624366296424e-05,-4.2291883278415714e-07,-3.361482556071837e-07,-1.1793439478308876e-07,-1.2584025442018426e-07
134.0,0.009925039950758219,3.6014704652794456e-06,-2.5513320391385165e-06,-3.373187591869743e-07,-5.484352853628608e-08,-1.3003774073149506e-07
135.0,0.00985535595100373,6.798353176827438e-05,2.6212869063075673e-06,-3.3785926168230844e-07,1.2487901848473504e-06,-1.5518202612640533e-07
136.0,0.009760875953361392,-3.1685390249420634e-05,-8.623726662463655e-08,-3.256699755962382e-07,2.2167606215103245e-07,-1.295959697957667e-07
137.0,0.01080589194316417,7.201371430710557e-06,3.359729094807308e-07,-3.2327456802224796e-07,4.132430343484571e-07,-1.3052784038038637e-07
138.0,0.009746802970767021,2.1594748522963735e-06,7.210814383957359e-07,-3.1924676958741167e-07,4.392747400961387e-07,-1.2725317862816235e-07
