tick,tick_dt,input_force,output_angle,output_ang_vel,output_speed,output_position
172.0,0.00998683599755168,2.183901534536928e-05,0.02999371034222696,0.12281928139193904,1.7498878587377697e-05,1.4252299974934734e-05
173.0,0.009617064031772316,2.183901534536928e-05,0.031174871235709497,0.1276502392663606,1.622747847847603e-05,1.4420587810793756e-05
174.0,0.009629155043512583,2.183901534536928e-05,0.03240403518094676,0.13267872962116212,1.7449420181925605e-05,1.4576844717028265e-05
175.0,0.010790472035296261,2.183901534536928e-05,0.03383570130260254,0.13851864653999071,1.9324233158752539e-07,1.4765132197533467e-05
176.0,0.009460677043534815,2.183901534536928e-05,0.035146181482024946,0.1439390902337359,3.183938313411003e-05,1.4766960400823756e-05
177.0,0.01053730899002403,2.183901534536928e-05,0.03666291215156077,0.15022395390621124,8.355863710486828e-05,1.5102461818959632e-05
178.0,0.009697005967609584,2.183901534536928e-05,0.03811963472906721,0.15634646672850647,0.00017974588734439542,1.5912730421610863e-05
179.0,0.009451380930840969,2.183901534536928e-05,0.039597324743309376,0.16261209203720522,0.00032693533573897583,1.761157727365477e-05
180.0,0.010717121069319546,2.183901534536928e-05,0.041340058221007434,0.17013914155688162,0.0005651164872837859,2.1115382848608007e-05
181.0,0.009644506964832544,2.183901534536928e-05,0.04298096635674341,0.17726729868345378,0.0008398047702758899,2.656565274615818e-05
182.0,0.009956983965821564,2.183901534536928e-05,0.04474601400739906,0.18501582288409552,0.0011904222047536613,3.492757537821568e-05
183.0,0.010539254057221115,2.183901534536928e-05,0.04669594276938037,0.19367984953289097,0.0016397639552059317,4.7473737429471814e-05
184.0,0.00990478100720793,2.183901534536928e-05,0.048614299264512634,0.20224563271021143,0.0021343296621662896,6.371524030929968e-05
185.0,0.00962398899719119,2.183901534536928e-05,0.05056070900844568,0.21098574663465638,0.002686060994290979,8.425600549436684e-05
186.0,0.010457383934408426,2.183901534536928e-05,0.0527670679656921,0.22099859448295098,0.0033731320441431085,0.00011234517658290646
187.0,0.009523971937596798,2.183901534536928e-05,0.05487185237779606,0.23056532594188353,0.0040747973341060326,0.00014447079151313396
188.0,0.009637525072321296,2.183901534536928e-05,0.05709393148736889,0.24072132362696974,0.004865924116343217,0.00018374175298520881
189.0,0.010550216073170304,2.183901534536928e-05,0.059633593465052974,0.2524378996835176,0.005833187264586275,0.00023507830380828002
190.0,0.00969589501619339,2.183901534536928e-05,0.06208120483849272,0.2637336408459684,0.006811576916932275,0.00029163627513550483
191.0,0.010276720044203103,2.183901534536928e-05,0.06479152163170515,0.2763237132718205,0.007953497131888842,0.0003616369441703739
192.0,0.009635950904339552,2.183901534536928e-05,0.06745416336649722,0.2887008834670882,0.009120451219408092,0.00043827645205106024
193.0,0.010556641966104507,2.183901534536928e-05,0.07050187522855733,0.30297286001949497,0.010519587937852825,0.0005345577901436728
194.0,0.009695247048512101,2.183901534536928e-05,0.07343927195544062,0.3167135271346284,0.011910802522564296,0.0006365477940497039
195.0,0.009563211933709681,2.183901534536928e-05,0.07646807053770178,0.33090640982155667,0.013391074056265474,0.0007504533228735502
196.0,0.010470346896909177,2.183901534536928e-05,0.07993277543894428,0.3472496898289726,0.015146515920736455,0.0008906625135648503
197.0,0.009539175080135465,2.183901534536928e-05,0.08324525102674558,0.36283766246625354,0.01686262329223065,0.0010351477807868147
198.0,0.01066782500129193,2.183901534536928e-05,0.0871159397138134,0.38117889064082244,0.018934294191398908,0.0012150352951310404
199.0,0.009457862004637718,2.183901534536928e-05,0.0907210770605752,0.3981927166793845,0.02089576665648708,0.0013941132367485047
200.0,0.01086330390535295,2.183901534536928e-05,0.09504676555476145,0.4187648191395184,0.023320898391463334,0.0016211103002732648
201.0,0.00944139901548624,2.183901534536928e-05,0.09900049130590557,0.4374654680777255,0.0255636709520544,0.0018412922073866814
202.0,0.01022825704421848,2.183901534536928e-05,0.1034750005613739,0.4587231411407904,0.02815922028367577,0.0021027640048781153
203.0,0.009507748996838927,2.183901534536928e-05,0.10783642504638205,0.47939116430792245,0.03072033149666571,0.002370494803282
204.0,0.010176851064898074,2.183901534536928e-05,0.11271511752737186,0.5025927757300624,0.0336391839020439,0.0026831310415878643
205.0,0.009614508016966283,2.183901534536928e-05,0.11754729979889789,0.5255223795987025,0.036560732658944536,0.0030065552448982685
206.0,0.010413662996143103,2.183901534536928e-05,0.12301991275696997,0.5515900113563538,0.039925665484187335,0.0033872863937005997
207.0,0.009504675981588662,2.183901534536928e-05,0.12826259708959292,0.5764578069657503,0.04316940987023077,0.0037667669074770986
208.0,0.01064406696241349,2.183901534536928e-05,0.1343984525879424,0.6057085609233673,0.04702770826592574,0.004226264996863708
209.0,0.009464676957577467,2.183901534536928e-05,0.14013128844752118,0.6328799995317727,0.05064185886791732,0.004671367063655891
210.0,0.010581086040474474,2.183901534536928e-05,0.1468278461758623,0.6647636665895641,0.05492163487459631,0.005207212929586889
211.0,0.009531565010547638,2.183901534536928e-05,0.15316408428061076,0.6947652736030804,0.058975423479817025,0.005730702062879664
