tick,tick_dt,input_force,output_speed,output_angle,output_ang_vel,output_position
130.0,0.009670724160969257,0.0,-3.90290577048149e-07,3.2800969561135068e-06,1.2518704248321898e-05,-1.0873331925233738e-07
131.0,0.010815938003361225,0.0,-2.840352240680445e-07,3.415498485145771e-06,1.3370188475390332e-05,-1.1295467793698623e-07
132.0,0.00966574251651764,0.0,-1.6311700940721344e-07,3.5447312843462053e-06,1.494250498622899e-05,-1.1570008927844934e-07
133.0,0.009412393905222416,0.0,-3.2274653491754164e-08,3.6853760272073425e-06,1.4464922193708593e-05,-1.172354108236319e-07
134.0,0.010694198310375214,0.0,1.2455919271637825e-07,3.84006677369101e-06,1.5721168312649812e-05,-1.1758056236847136e-07
135.0,0.009575225412845612,0.0,2.6468733448362637e-07,3.990600504037917e-06,1.7594394362755662e-05,-1.1638788002096997e-07
136.0,0.010276202112436295,0.0,4.2594812503445677e-07,4.171404056555504e-06,1.7127181106693648e-05,-1.1366789947521419e-07
137.0,0.009516539983451366,0.0,5.27105586303261e-07,4.334395560361168e-06,1.8991238018431626e-05,-1.0961434711244764e-07
138.0,0.010565624572336674,0.0,7.025566142002191e-07,4.535049851427804e-06,1.9277436908675737e-05,-1.0404514737758597e-07
139.0,0.009606984443962574,0.0,8.714276646222819e-07,4.7202478879289214e-06,2.1319439308453503e-05,-9.729569691396145e-08
140.0,0.009732242673635483,0.0,9.510133985456619e-07,4.927733844944635e-06,2.126513099937742e-05,-8.881475140933796e-08
141.0,0.010311756283044815,0.0,-5.651046648625465e-07,5.147014693137236e-06,1.9580432997019037e-05,-7.900813302162493e-08
142.0,0.009636095724999905,0.0,-2.5888633537220095e-07,5.335693619833459e-06,2.1630444668494485e-05,-8.445353566688442e-08
143.0,0.010472848080098629,0.0,-3.775021736965674e-08,5.5622259807515805e-06,2.227332353773404e-05,-8.716481292725094e-08
144.0,0.009730946272611618,0.0,1.7507457395612553e-07,5.778966495409766e-06,2.4291483820115615e-05,-8.753215826425449e-08
145.0,0.014594336040318012,-0.0007718186714325624,-4.958460344121399e-06,6.1334845731984815e-06,1.45153615187059e-05,-8.497706109982329e-08
146.0,0.015489883720874786,-0.0007718186714325624,-1.529092177664733e-05,6.358325835289697e-06,-4.007290500520237e-06,-1.6178303526483254e-07
147.0,0.009654019959270954,-0.0007718186714325624,-4.4797445258933285e-06,6.3196393728150775e-06,1.732297580322998e-05,-3.094018992922367e-07
148.0,0.010502811521291733,-0.0007718186714325624,-1.2361911527222694e-05,6.501579322664299e-06,6.697111806335265e-07,-3.564518117112327e-07
149.0,0.009845000691711903,-0.001332025737838949,4.836561487829252e-05,6.508172629700884e-06,0.07853463501608968,-4.781548392476215e-07
150.0,0.017941532656550407,-0.001332025737838949,-0.0002489556197042568,0.001415539891441141,-0.18155423529415549,3.895984195454039e-07
151.0,0.01179774571210146,5.083304102262513,0.11444893498410462,-0.0007263908095143413,0.1880510867025895,-2.5475166753240534e-06
152.0,0.010667512193322182,5.083304102262513,0.22091123939811186,0.0012796464508530187,0.3632357034393831,0.0012183378927803495
153.0,0.009536966681480408,5.083304102262513,0.3162202661811966,0.004743813252078514,0.5206464895346448,0.0033251610224846843
154.0,0.00988859310746193,5.083304102262513,0.41523630263053807,0.009892274539915051,0.6849745194054254,0.006452134567083842
155.0,0.01046023704111576,5.083304102262513,0.5202509106651889,0.01705727038002015,0.8604340972696093,0.010795604720675749
156.0,0.009363393299281597,5.083304102262513,0.6145161763398087,0.025113853240867817,1.0191014566317864,0.01566691861154333
157.0,0.010491736233234406,5.083304102262513,0.7205088786274514,0.03580599691875349,1.1992145883155556,0.022114260244756365
158.0,0.00974276103079319,5.083304102262513,0.8192738429961027,0.04748965807735298,1.3687549530949406,0.029134006069788398
159.0,0.010419532656669617,5.083304102262513,0.9252990801508926,0.061751445010104,1.552927927982949,0.03767045663164151
160.0,0.009536761790513992,5.083304102262513,1.0226599605669537,0.07656134873711386,1.724085743851787,0.04649481354402228
161.0,0.010220165364444256,5.083304102262513,1.1273404482368095,0.09418179014176001,1.9106156643538423,0.05694656745261259
162.0,0.009764574468135834,5.083304102262513,1.227599920162655,0.11283813907632992,2.0917600758119765,0.06795456721036254
163.0,0.010482273064553738,5.083304102262513,1.3354315876787803,0.1347645393765227,2.2895986742066943,0.08082260478753187
164.0,0.009645001962780952,5.083304102262513,1.4346765310617473,0.15684772308322692,2.474459086534708,0.09370284507185339
165.0,0.010511625558137894,5.083304102262513,1.5427389390944226,0.1828583104598117,2.679102244704933,0.10878362756342266
166.0,0.009551855735480785,5.083304102262513,1.6406079845992168,0.20844870860183598,2.867487199475312,0.12351964734716127
