tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
69.0,0.010386038571596146,3.240403268488863e-06,3.20431604668781e-07,-5.983648882565651e-08,-9.855438553569441e-08,2.108023618725527e-07
70.0,0.009880989789962769,-2.084077814124294e-07,2.1434568010635786e-07,-5.66703074115429e-08,-9.647144955033168e-08,1.7748700465275148e-07
71.0,0.009851045906543732,1.4020662694376636e-06,-3.88764248669583e-08,-5.4558778276945834e-08,-9.472301691968249e-08,2.0230070794167903e-07
72.0,0.010142615996301174,9.487900334945257e-06,1.0847432409796095e-07,-5.495308692568044e-08,-9.267115852325016e-08,1.5317830487459414e-07
73.0,0.009965562261641026,3.6030162767290318e-06,-1.5436545140093308e-06,-5.387207929509278e-08,-9.114465058888976e-08,-4.433380285260372e-07
74.0,0.009967378340661526,2.9810123703965726e-05,1.332224758046029e-06,-6.925826786349377e-08,-9.556356845201176e-08,6.737720019994521e-07
75.0,0.009793713688850403,-1.145561147675105e-05,-2.5624304674807833e-07,-5.6210840013992966e-08,-8.89648383728656e-08,-5.619443882723464e-09
76.0,0.009962914511561394,8.776480600470737e-06,-6.168640634274766e-08,-5.87637675829261e-08,-8.902082441187169e-08,1.3528199812886997e-07
77.0,0.009845768101513386,8.545505384289897e-06,-1.814022729433864e-06,-5.937111763479252e-08,-8.768886922998546e-08,-6.672825231114939e-07
78.0,0.010096395388245583,3.037733220162825e-05,7.98516120487272e-07,-7.768620835442125e-08,-9.442601741898523e-08,4.616918249893934e-07
79.0,0.010224596597254276,-2.6147409618776214e-06,-1.147280433035996e-06,-6.952170314603441e-08,-8.970540475621855e-08,-2.598695221723002e-07
80.0,0.010030951350927353,2.6912645845861162e-05,1.6325337294701292e-07,-8.103001735568934e-08,-9.231214329071763e-08,2.0293432352240078e-07
81.0,0.009759528562426567,6.930239391798644e-06,1.3730719849384895e-06,-7.94367413995005e-08,-9.033159996400405e-08,7.241437815421184e-07
82.0,0.00994452740997076,-9.306966466570004e-06,3.948718761020148e-07,-6.578218940941673e-08,-8.313033227969857e-08,4.0518349807723486e-07
83.0,0.009738992899656296,6.2693291420352166e-06,-2.0306059914959517e-06,-6.193653501178525e-08,-7.918425306886647e-08,-7.303588437113965e-07
84.0,0.010045137256383896,3.5158411688060254e-05,4.5536381293044106e-07,-8.23342509099976e-08,-8.652080790036128e-08,2.44390243601556e-07
85.0,0.010733162984251976,4.56440332636617e-07,-1.1455722934846357e-06,-7.744675688868475e-08,-8.389772758402473e-08,-2.5096680628980077e-07
86.0,0.00961427204310894,2.8458328453309893e-05,6.64093448174555e-07,-8.846060056329428e-08,-8.63105907334851e-08,3.3898280903105165e-07
87.0,0.010424187406897545,-1.4246795263835523e-06,-6.315961347890789e-07,-8.153796600382992e-08,-8.277697040442886e-08,3.039393296245197e-07
