tick,tick_dt,input_force,output_speed,output_ang_vel,output_angle,output_position
180.0,0.010322355999960564,0.06813903445282986,0.00011211628895375194,-0.000249356340797254,8.72580496198294e-05,0.0011746229375803091
181.0,0.010962360999883458,0.06835687383455599,0.00011058280786156397,-0.00022545780068684845,8.452451539439993e-05,0.0011758519968137874
182.0,0.008222881999927267,0.06800339597967302,0.00010331641817239131,-0.00023034161485579736,8.267060250338886e-05,0.0011767613061940537
183.0,0.010909103000130926,0.06815344684272293,9.654839075972147e-05,-0.0002110605364341611,8.015778210171047e-05,0.0011778883956415009
184.0,0.011238836999837076,0.06771203146828128,8.297966960877981e-05,-0.00019927512448451623,7.778570713562877e-05,0.001178973487267846
185.0,0.00836537899999712,0.06722222693771805,6.145141338694403e-05,-0.00026115721538699793,7.611869519404418e-05,0.0011796676436534178
186.0,0.00956857599999239,0.06847228881098733,7.30398358488196e-05,-0.00018244497104952261,7.361979253066731e-05,0.0011802556461727178
187.0,0.010877585000116596,0.06694168405138022,4.9039409011718194e-05,-0.0002360926963439997,7.163523185023232e-05,0.001181050143195558
188.0,0.010046288000012282,0.06790697402668974,3.718488943102584e-05,-0.000257668765983313,6.926337662806105e-05,0.00118154280722184
189.0,0.009729368000080285,0.06841183237635186,3.567341487312565e-05,-0.00024251562141235848,6.675642238168282e-05,0.0011819045926951567
190.0,0.009870792000128858,0.06823590247990766,3.1067646299937775e-05,-0.00025876430879266866,6.436260112593944e-05,0.0011822567175533037
191.0,0.010743810000121812,0.06884365600056776,3.8835471950068744e-05,-0.0002318417782369046,6.158248655745815e-05,0.0011825905024423012
192.0,0.009091382000178783,0.0686937991416376,4.2644881515810786e-05,-0.00021430367219999683,5.947472438790571e-05,0.0011829435705529565
193.0,0.010388705999957892,0.0685937970565856,5.443945503117596e-05,-0.00015147187386477492,5.724838654270859e-05,0.0011833865956894273
194.0,0.011205060000065714,0.06749013560756142,4.5737866334671854e-05,-0.00017211521717552534,5.55511351077314e-05,0.0011839965930494226
195.0,0.008367323000129545,0.06800902083844133,3.4284676696251645e-05,-0.00020201980625656068,5.411099149238634e-05,0.0011843792965503816
196.0,0.009904420000111713,0.06865299005418217,7.109070821603551e-05,-8.790700680538525e-05,5.211010248288016e-05,0.0011847188663879494
197.0,0.01084604900006525,0.06693738672716418,5.620990674428925e-05,-0.00012566519889959456,5.115665877961988e-05,0.0011854899196927099
198.0,0.009595797000201856,0.06764927892479033,3.789845236448541e-05,-0.0001704013080272268,4.995080104098938e-05,0.0011860292985472283
199.0,0.00972562799984189,0.06845562577710045,4.469225105297481e-05,-0.00012411558615248582,4.82935413084301e-05,0.001186397884796695
200.0,0.010018898999987869,0.06757839381022343,2.665252154907213e-05,-0.00017610464424587624,4.705003978644405e-05,0.0011868456519460767
201.0,0.0104967970000871,0.06860392760979628,2.853517453877388e-05,-0.00016473428362781724,4.520150508502253e-05,0.0011871254180543178
202.0,0.009591557000021567,0.068577863021721,2.9700888889122444e-05,-0.0001554795755568055,4.36214468137486e-05,0.001187399114807412
203.0,0.010387984999852051,0.06855494470911896,3.744742082586505e-05,-0.00011187850483686147,4.200632731508114e-05,0.0011877076471956745
204.0,0.0104857600001651,0.06778158127572755,2.458546720819761e-05,-0.0001405386316032472,4.08331961641845e-05,0.0011881003118630797
